method,population,block_id,external_motor_count,records,blocks,alarms,alarm_rate,score_mean,score_std,score_min,score_q25,score_median,score_q75,score_max
source_target_isolation_forest,fault,0,1,48,48,24,0.5,0.5787767546247259,0.010387135132138871,0.534057832178551,0.572871527945854,0.5813548817660412,0.5861449641832563,0.5897316978610472
source_target_isolation_forest,fault,1,1,48,48,0,0.0,0.5301345471950206,0.010842171893900264,0.5010429586583655,0.5267938370637101,0.528713431736048,0.531863855703679,0.5640801124002575
source_target_isolation_forest,fault,2,1,48,48,2,0.041666666666666664,0.5370405875456107,0.021746337035931974,0.5078507495143034,0.5206335568776757,0.5287436190877426,0.5477792635820268,0.5865508919390763
source_target_isolation_forest,fault,3,1,48,48,12,0.25,0.5655384583993727,0.025769336636916853,0.5258039710853971,0.5422060110980429,0.5618893895249246,0.580495274760202,0.6196405509017866
source_target_isolation_forest,fault,4,1,48,48,29,0.6041666666666666,0.5823377873054938,0.023504358206989654,0.5398218745328669,0.5719286341104564,0.5860558485992047,0.597624204554819,0.6231365681511343
source_target_isolation_forest,fault,5,1,48,48,39,0.8125,0.5915493137280007,0.020406281055517363,0.5408629965465369,0.5900739949425967,0.5937675714509572,0.6056312410487854,0.6269811421711141
source_target_isolation_forest,fault,6,1,48,48,43,0.8958333333333334,0.5986314674920291,0.01756831318220572,0.5463611340480822,0.593901200334292,0.5991109656185512,0.6074365586796177,0.6387341651930342
source_target_isolation_forest,fault,7,1,48,48,45,0.9375,0.6037263239604559,0.018355197661732114,0.5720166878757359,0.5944105467291185,0.6011083704046134,0.6082131808887214,0.6833695019016742
source_target_isolation_forest,healthy_all,0,1,8,8,3,0.375,0.5810439297034934,0.007374758789849157,0.5668389583474517,0.579093662698331,0.5810723982141452,0.5843007237078559,0.5918832253384297
source_target_isolation_forest,healthy_all,1,1,8,8,0,0.0,0.5259983071468727,0.009312636310069731,0.5107964156419154,0.5235500571350088,0.5265042866281103,0.5279734530034597,0.5432440003936769
source_target_isolation_forest,healthy_all,2,1,8,8,0,0.0,0.5155050561522958,0.013018655343537354,0.4950966673316724,0.5091009183539129,0.5173560923049133,0.5193898359693587,0.5395056662163674
source_target_isolation_forest,healthy_all,3,1,8,8,0,0.0,0.5308998934907927,0.012080176856994944,0.5134705374273113,0.5250843732246673,0.5312042989685092,0.5329327404839922,0.5558961962270442
source_target_isolation_forest,healthy_all,4,1,8,8,1,0.125,0.5494351956064001,0.04629528159814826,0.5212344740655633,0.5316757232119708,0.5363389531193314,0.5383698917246067,0.6629722263907304
source_target_isolation_forest,healthy_all,5,1,8,8,1,0.125,0.5567163879041511,0.06716112979076866,0.5244364307514562,0.5321762191433708,0.5342061490796017,0.5365261345577472,0.7225808942817995
source_target_isolation_forest,healthy_all,6,1,8,8,1,0.125,0.5613547034798063,0.07806780806027395,0.5290819892417196,0.5334612290281926,0.5342137368662025,0.5354853218155455,0.7544823171008106
source_target_isolation_forest,healthy_all,7,1,8,8,1,0.125,0.5568120776261476,0.05137048739374163,0.5345091382238509,0.5370669909495803,0.5392734141780284,0.5417959380012028,0.6837847333748841
source_target_isolation_forest,healthy_test,0,1,4,4,2,0.5,0.5794725790918303,0.008872820862637241,0.5668389583474517,0.5770606616104725,0.5818888062264982,0.5843007237078559,0.5872737455668731
source_target_isolation_forest,healthy_test,1,1,4,4,0,0.0,0.5222757859438728,0.0076805285659729255,0.5107964156419154,0.5216727200684953,0.5257074216991227,0.5263104875745002,0.5268918847353307
source_target_isolation_forest,healthy_test,2,1,4,4,0,0.0,0.5113494213502043,0.01168530126140167,0.4950966673316724,0.5067688569389924,0.5148092715581468,0.5193898359693587,0.5206824749528515
source_target_isolation_forest,healthy_test,3,1,4,4,0,0.0,0.5255490581967595,0.008588980565071465,0.5134705374273113,0.5225467384231943,0.5279877574325232,0.5309900772060884,0.5327501804946799
source_target_isolation_forest,healthy_test,4,1,4,4,0,0.0,0.5328173255153192,0.00828799427516148,0.5212344740655633,0.5301556848747414,0.5347726240244914,0.5374342646650692,0.5404895799467305
source_target_isolation_forest,healthy_test,5,1,4,4,0,0.0,0.5329447973818753,0.006336299745878196,0.5244364307514562,0.5306582526495007,0.5339017714220462,0.5361883161544208,0.5395392159319524
source_target_isolation_forest,healthy_test,6,1,4,4,0,0.0,0.5335513697895566,0.0033564646760101974,0.5290819892417196,0.5322547812619192,0.534030099280348,0.5353266878079854,0.5370632913558114
source_target_isolation_forest,healthy_test,7,1,4,4,0,0.0,0.5387955839221021,0.0023681658034694496,0.5364716381443506,0.5370669909495803,0.5385391210271715,0.5402677139996933,0.5416324554897152
source_target_min_cov_det,fault,0,1,48,48,0,0.0,2102.5114924186996,336.74472641991235,1343.44929444709,1953.5822960352248,2083.892838608983,2153.3727753418643,3743.675896977216
source_target_min_cov_det,fault,1,1,48,48,0,0.0,1885.4801866167718,1401.824789079926,821.5846320833889,1291.8269052858723,1400.4095012286464,1572.1178009560297,7007.215435615738
source_target_min_cov_det,fault,2,1,48,48,3,0.0625,3082.6826469558187,3145.276957249362,1309.6846294948225,1472.594406958884,1787.0763874566542,2622.0869903638772,14405.418842167352
source_target_min_cov_det,fault,3,1,48,48,7,0.14583333333333334,5440.847589756434,6875.199154507863,1540.0964965946507,2048.9916699374276,2738.5732910346223,4476.793078064251,33430.04717991218
source_target_min_cov_det,fault,4,1,48,48,10,0.20833333333333334,9274.649148595556,11852.107582663693,2145.7348895642945,3594.8989776775156,4684.0041170785935,8493.932675737276,53472.59713671472
source_target_min_cov_det,fault,5,1,48,48,18,0.375,14171.804972255015,17119.73364395353,3349.9299508113663,5120.635192226285,8064.574894604852,13762.475845404626,76395.21230045184
source_target_min_cov_det,fault,6,1,48,48,30,0.625,20309.998997759136,19515.86937280759,5942.898504730863,7832.491953804976,13593.552850685657,23438.572227201053,87013.5039126456
source_target_min_cov_det,fault,7,1,48,48,48,1.0,28834.86064601856,19969.918583644932,10984.049724530303,13104.30015706674,22625.207202012214,34427.32505294627,91293.31233412505
source_target_min_cov_det,healthy_all,0,1,8,8,0,0.0,2151.0241995963643,554.2945324669306,1786.917454394701,1910.15377154769,2003.5366810959576,2042.41946701492,3503.38029350774
source_target_min_cov_det,healthy_all,1,1,8,8,1,0.125,3149.4053398275505,5654.360461067783,988.9674829537825,1140.4728120284783,1188.5388146714179,1211.216626268671,17141.998197478628
source_target_min_cov_det,healthy_all,2,1,8,8,1,0.125,2461.2711254621395,3579.1662202360585,987.2879323063104,1183.5481488377388,1240.0405920670385,1275.4149212636064,11316.136667490397
source_target_min_cov_det,healthy_all,3,1,8,8,0,0.0,2134.5198165640295,1781.4378860436864,1249.9618387129838,1491.9049760098692,1570.150899254884,1602.1104372543925,6533.644469126519
