feature,feature_family,population,independent_motors,record_subsystem_block_units,spearman_raw_vs_speed_proxy,spearman_robust_z_vs_speed_proxy,speed_proxy,inferential_p_value_claimed
harmonic_4_ratio_mean,harmonic_sideband,healthy_unused,1,8,0.788009048074417,0.788009048074417,fundamental_hz (electrical-frequency proxy),False
harmonic_5_ratio_max,harmonic_sideband,fault,1,768,-0.604517986711778,-0.562494861237617,fundamental_hz (electrical-frequency proxy),False
harmonic_5_ratio_max,harmonic_sideband,healthy_adaptation,1,8,-0.7807200583588266,-0.6343350474165467,fundamental_hz (electrical-frequency proxy),False
harmonic_5_ratio_max,harmonic_sideband,healthy_all,1,128,-0.6628830125436213,-0.6481355956825074,fundamental_hz (electrical-frequency proxy),False
harmonic_5_ratio_max,harmonic_sideband,healthy_calibration,1,48,-0.8809440540226477,-0.8625910528971759,fundamental_hz (electrical-frequency proxy),False
harmonic_5_ratio_max,harmonic_sideband,healthy_health_test,1,64,-0.8143653725788725,-0.7984678988313644,fundamental_hz (electrical-frequency proxy),False
harmonic_5_ratio_max,harmonic_sideband,healthy_unused,1,8,0.848625128695526,0.788009048074417,fundamental_hz (electrical-frequency proxy),False
harmonic_5_ratio_mean,harmonic_sideband,fault,1,768,-0.6701512255297781,-0.6348481504544488,fundamental_hz (electrical-frequency proxy),False
harmonic_5_ratio_mean,harmonic_sideband,healthy_adaptation,1,8,-0.8295150620062534,-0.8783100656536799,fundamental_hz (electrical-frequency proxy),False
harmonic_5_ratio_mean,harmonic_sideband,healthy_all,1,128,-0.6797273412229042,-0.6316824604288364,fundamental_hz (electrical-frequency proxy),False
harmonic_5_ratio_mean,harmonic_sideband,healthy_calibration,1,48,-0.892633167834704,-0.8270867352437333,fundamental_hz (electrical-frequency proxy),False
harmonic_5_ratio_mean,harmonic_sideband,healthy_health_test,1,64,-0.8507222038449128,-0.790311803604382,fundamental_hz (electrical-frequency proxy),False
harmonic_5_ratio_mean,harmonic_sideband,healthy_unused,1,8,0.7637626158259734,0.7637626158259734,fundamental_hz (electrical-frequency proxy),False
kurtosis_a,current_shape,fault,1,768,-0.1430882992794095,-0.04827647315593733,fundamental_hz (electrical-frequency proxy),False
kurtosis_a,current_shape,healthy_adaptation,1,8,0.43915503282683993,0.8295150620062534,fundamental_hz (electrical-frequency proxy),False
kurtosis_a,current_shape,healthy_all,1,128,-0.050245343813133975,-0.0485511311095654,fundamental_hz (electrical-frequency proxy),False
kurtosis_a,current_shape,healthy_calibration,1,48,-0.016823584365015843,-0.035285829544805955,fundamental_hz (electrical-frequency proxy),False
kurtosis_a,current_shape,healthy_health_test,1,64,-0.048660093557590066,-0.04078047613491213,fundamental_hz (electrical-frequency proxy),False
kurtosis_a,current_shape,healthy_unused,1,8,0.0484928644968872,0.4606822127204283,fundamental_hz (electrical-frequency proxy),False
kurtosis_b,current_shape,fault,1,768,-0.1133085565824326,-0.0372926071327875,fundamental_hz (electrical-frequency proxy),False
kurtosis_b,current_shape,healthy_adaptation,1,8,0.8295150620062534,0.7807200583588266,fundamental_hz (electrical-frequency proxy),False
kurtosis_b,current_shape,healthy_all,1,128,0.028401793268312624,0.058391371617049444,fundamental_hz (electrical-frequency proxy),False
kurtosis_b,current_shape,healthy_calibration,1,48,0.035395073599124235,0.035285829544805955,fundamental_hz (electrical-frequency proxy),False
kurtosis_b,current_shape,healthy_health_test,1,64,0.0593044890233129,0.1172726686591541,fundamental_hz (electrical-frequency proxy),False
kurtosis_b,current_shape,healthy_unused,1,8,0.37581969985087577,0.37581969985087577,fundamental_hz (electrical-frequency proxy),False
kurtosis_c,current_shape,fault,1,768,0.4315059177841342,0.258977702711972,fundamental_hz (electrical-frequency proxy),False
kurtosis_c,current_shape,healthy_adaptation,1,8,0.7319250547114,0.43915503282683993,fundamental_hz (electrical-frequency proxy),False
kurtosis_c,current_shape,healthy_all,1,128,0.3680583614779703,0.17721349822437435,fundamental_hz (electrical-frequency proxy),False
kurtosis_c,current_shape,healthy_calibration,1,48,0.547968176460516,0.2737656001216214,fundamental_hz (electrical-frequency proxy),False
kurtosis_c,current_shape,healthy_health_test,1,64,0.48567934289488573,0.24915258131239537,fundamental_hz (electrical-frequency proxy),False
kurtosis_c,current_shape,healthy_unused,1,8,-0.37581969985087577,-0.37581969985087577,fundamental_hz (electrical-frequency proxy),False
phase_rms_cv,sequence_imbalance,fault,1,768,0.4115164124253208,0.4610623494629355,fundamental_hz (electrical-frequency proxy),False
phase_rms_cv,sequence_imbalance,healthy_adaptation,1,8,0.7807200583588266,0.7807200583588266,fundamental_hz (electrical-frequency proxy),False
phase_rms_cv,sequence_imbalance,healthy_all,1,128,0.5125928265525269,0.28295940929617674,fundamental_hz (electrical-frequency proxy),False
phase_rms_cv,sequence_imbalance,healthy_calibration,1,48,0.6882375422051936,0.38814412499286544,fundamental_hz (electrical-frequency proxy),False
phase_rms_cv,sequence_imbalance,healthy_health_test,1,64,0.6469119824384536,0.359928021570394,fundamental_hz (electrical-frequency proxy),False
phase_rms_cv,sequence_imbalance,healthy_unused,1,8,0.1697250257391052,0.1697250257391052,fundamental_hz (electrical-frequency proxy),False
rms_ratio_a,current_shape,fault,1,768,0.46897771969161395,0.5441556469404931,fundamental_hz (electrical-frequency proxy),False
rms_ratio_a,current_shape,healthy_adaptation,1,8,-0.29277002188455997,-0.5855400437691199,fundamental_hz (electrical-frequency proxy),False
rms_ratio_a,current_shape,healthy_all,1,128,0.015426252511440206,0.01554706224582031,fundamental_hz (electrical-frequency proxy),False
rms_ratio_a,current_shape,healthy_calibration,1,48,0.024798400330250624,0.024798400330250624,fundamental_hz (electrical-frequency proxy),False
rms_ratio_a,current_shape,healthy_health_test,1,64,0.028753691647666866,0.028753691647666866,fundamental_hz (electrical-frequency proxy),False
rms_ratio_a,current_shape,healthy_unused,1,8,0.14547859349066158,0.14547859349066158,fundamental_hz (electrical-frequency proxy),False
rms_ratio_b,current_shape,fault,1,768,-0.3022419554043234,-0.3211132944240062,fundamental_hz (electrical-frequency proxy),False
rms_ratio_b,current_shape,healthy_adaptation,1,8,0.09759000729485333,0.09759000729485333,fundamental_hz (electrical-frequency proxy),False
rms_ratio_b,current_shape,healthy_all,1,128,0.07768928847314722,0.26944885400133534,fundamental_hz (electrical-frequency proxy),False
rms_ratio_b,current_shape,healthy_calibration,1,48,-0.019991661940246097,0.22821082947089671,fundamental_hz (electrical-frequency proxy),False
rms_ratio_b,current_shape,healthy_health_test,1,64,-0.017694579475487297,0.22800202928310198,fundamental_hz (electrical-frequency proxy),False
rms_ratio_b,current_shape,healthy_unused,1,8,0.2788339708571014,0.2788339708571014,fundamental_hz (electrical-frequency proxy),False
rms_ratio_c,current_shape,fault,1,768,0.01477338875269294,-0.025750303770983623,fundamental_hz (electrical-frequency proxy),False
rms_ratio_c,current_shape,healthy_adaptation,1,8,0.4879500364742666,0.9271050693011065,fundamental_hz (electrical-frequency proxy),False
rms_ratio_c,current_shape,healthy_all,1,128,-0.07960210926749883,-0.24545949246014362,fundamental_hz (electrical-frequency proxy),False
rms_ratio_c,current_shape,healthy_calibration,1,48,-0.0741767128821153,-0.30074888153823776,fundamental_hz (electrical-frequency proxy),False
rms_ratio_c,current_shape,healthy_health_test,1,64,-0.07266758289802988,-0.2773533173514533,fundamental_hz (electrical-frequency proxy),False
