scope,feature,feature_family,block_id,block_label,independent_motors,healthy_units,fault_units,matched_fault_health_pairs,healthy_raw_mean,fault_raw_mean,raw_hedges_g_fault_minus_health,raw_single_feature_auc_fault_higher,raw_direction_free_auc,matched_raw_difference_mean,matched_raw_difference_median,matched_raw_dz,robust_z_hedges_g_fault_minus_health,robust_z_single_feature_auc_fault_higher,robust_z_direction_free_auc,matched_robust_z_dz,auroc_inferential_claimed
all_matched_loads,fundamental_hz,speed_proxy,0,0,1,16,96,96,37.00000000008624,36.993055555641774,-0.15507213497003067,0.4895833333333333,0.5104166666666667,-0.006944444444460629,0.0,-0.1451032892080917,-0.15507213497005298,0.4895833333333333,0.5104166666666667,-0.14510328920809162,False
all_matched_loads,fundamental_hz,speed_proxy,1,1,1,16,96,96,54.66666666679408,54.66666666679408,,0.5,0.5,0.0,0.0,,-1.0631209955007588,0.5,0.5,,False
all_matched_loads,fundamental_hz,speed_proxy,2,2,1,16,96,96,78.66666666685002,78.67361111129448,0.15507213496987202,0.5104166666666666,0.5104166666666666,0.006944444444460629,0.0,0.1451032892080917,0.15507213496997033,0.5104166666666666,0.5104166666666666,0.14510328920809162,False
all_matched_loads,fundamental_hz,speed_proxy,3,3,1,16,96,96,109.66666666692228,109.69444444470014,0.2216760514487328,0.5208333333333334,0.5208333333333334,0.027777777777841923,0.0,0.2074255584995267,0.22167605144864186,0.5208333333333334,0.5208333333333334,0.20742555849952674,False
all_matched_loads,fundamental_hz,speed_proxy,4,4,1,16,96,96,152.58333333368898,152.6319444448002,0.2872893157997132,0.5247395833333333,0.5247395833333333,0.0486111111112244,0.0,0.17242381328487288,0.2872893157997251,0.5247395833333333,0.5247395833333333,0.17242381328487671,False
all_matched_loads,fundamental_hz,speed_proxy,5,5,1,16,96,96,207.20833333381628,207.43750000048348,0.6879018206181291,0.6796875,0.6796875,0.2291666666671972,0.0,0.5424024801293291,0.6879018206180333,0.6796875,0.6796875,0.542402480129332,False
all_matched_loads,fundamental_hz,speed_proxy,6,6,1,16,96,96,279.85416666731896,279.88888888954125,0.06845040759397861,0.43359375,0.56640625,0.034722222222303145,0.0,0.04984118097466416,0.06845040759408019,0.43359375,0.56640625,0.04984118097465741,False
all_matched_loads,fundamental_hz,speed_proxy,7,7,1,16,96,96,376.50000000087755,376.93055555643406,0.8478365925569648,0.8372395833333334,0.8372395833333334,0.4305555555565519,0.3333333333341102,0.7175537397490853,0.8478365925571514,0.8372395833333334,0.8372395833333334,0.7175537397491054,False
all_matched_loads,harmonic_2_ratio_max,harmonic_sideband,-1,all_blocks,1,128,768,768,0.01972118079974404,0.010337606826036084,-0.4990124424628881,0.422637939453125,0.577362060546875,-0.009383573973707954,-0.0009773143638042263,-0.36818394091142626,-0.43624813377055527,0.45204671223958337,0.5479532877604166,-0.3697533372065536,False
all_matched_loads,harmonic_2_ratio_max,harmonic_sideband,0,0,1,16,96,96,0.02165646709874232,0.012527780960728914,-0.48666736557886964,0.41536458333333337,0.5846354166666666,-0.009128686138013403,-0.0010601739952082073,-0.4133128750221613,-0.4345068942288599,0.455078125,0.544921875,-0.4081884332828925,False
