record_id,load_nm,subsystem,block_id,window_id,is_healthy,fault_turns,fault_phase,role,row_index,window_score,frozen_system_score,contribution_sum,contribution_sum_error,frozen_score_error,alarm,p_value,external_motor_id
external_dual_three_phase_flt1zu_load_15nm,15.0,SubSys1,3,59,False,1,u,fault_test,2699,465.552230481571,465.552230481571,465.5522304815714,4.547473508864641e-13,0.0,False,0.76,external_dual_three_phase
external_dual_three_phase_flt1zu_load_15nm,15.0,SubSys1,4,74,False,1,u,fault_test,2714,774.92653680251,774.92653680251,774.9265368025106,5.684341886080801e-13,0.0,False,0.48,external_dual_three_phase
external_dual_three_phase_flt1zu_load_15nm,15.0,SubSys2,5,89,False,1,u,fault_test,2849,1431.4481418673035,1431.4481418673035,1431.4481418673072,3.637978807091713e-12,0.0,False,0.28,external_dual_three_phase
external_dual_three_phase_flt1zu_load_15nm,15.0,SubSys2,6,104,False,1,u,fault_test,2864,3042.881612014321,3042.881612014321,3042.8816120143133,-7.73070496506989e-12,0.0,False,0.16,external_dual_three_phase
external_dual_three_phase_flt1zu_load_15nm,15.0,SubSys2,7,119,False,1,u,fault_test,2879,6142.647324267359,6142.647324267359,6142.647324267358,-9.094947017729282e-13,0.0,True,0.04,external_dual_three_phase
external_dual_three_phase_flt1zu_load_20nm,20.0,SubSys2,0,2,False,1,u,fault_test,3002,642.2415921070385,642.2415921070385,642.2415921070392,6.821210263296962e-13,0.0,False,0.56,external_dual_three_phase
external_dual_three_phase_flt1zu_load_20nm,20.0,SubSys2,1,16,False,1,u,fault_test,3016,418.2430780884655,418.2430780884655,418.2430780884649,-5.684341886080801e-13,0.0,False,0.76,external_dual_three_phase
external_dual_three_phase_flt1zu_load_20nm,20.0,SubSys2,2,44,False,1,u,fault_test,3044,386.0433628923597,386.0433628923597,386.04336289236016,4.547473508864641e-13,0.0,False,0.92,external_dual_three_phase
external_dual_three_phase_flt1zu_load_20nm,20.0,SubSys2,3,59,False,1,u,fault_test,3059,467.64900659952576,467.64900659952576,467.649006599526,2.2737367544323206e-13,0.0,False,0.76,external_dual_three_phase
external_dual_three_phase_flt1zu_load_20nm,20.0,SubSys1,4,74,False,1,u,fault_test,2954,775.3152757995911,775.3152757995911,775.3152757995917,6.821210263296962e-13,0.0,False,0.48,external_dual_three_phase
external_dual_three_phase_flt1zu_load_20nm,20.0,SubSys1,5,89,False,1,u,fault_test,2969,1396.648873015847,1396.648873015847,1396.6488730158496,2.7284841053187847e-12,0.0,False,0.36,external_dual_three_phase
external_dual_three_phase_flt1zu_load_20nm,20.0,SubSys2,6,104,False,1,u,fault_test,3104,2803.0096700634667,2803.0096700634667,2803.009670063465,-1.8189894035458565e-12,0.0,False,0.16,external_dual_three_phase
external_dual_three_phase_flt1zu_load_20nm,20.0,SubSys2,7,119,False,1,u,fault_test,3119,5618.918188156869,5618.918188156869,5618.91818815687,9.094947017729282e-13,0.0,True,0.04,external_dual_three_phase
external_dual_three_phase_flt1zu_load_25nm,25.0,SubSys2,0,1,False,1,u,fault_test,3241,641.0977266132254,641.0977266132254,641.0977266132267,1.2505552149377763e-12,0.0,False,0.56,external_dual_three_phase
external_dual_three_phase_flt1zu_load_25nm,25.0,SubSys2,1,17,False,1,u,fault_test,3257,425.3379325031037,425.3379325031037,425.3379325031039,2.2737367544323206e-13,0.0,False,0.76,external_dual_three_phase
external_dual_three_phase_flt1zu_load_25nm,25.0,SubSys2,2,35,False,1,u,fault_test,3275,397.69170785427514,397.6917078542752,397.69170785427536,2.2737367544323206e-13,-5.684341886080802e-14,False,0.92,external_dual_three_phase
external_dual_three_phase_flt1zu_load_25nm,25.0,SubSys2,3,59,False,1,u,fault_test,3299,480.0940776431268,480.0940776431268,480.0940776431264,-3.979039320256561e-13,0.0,False,0.72,external_dual_three_phase
external_dual_three_phase_flt1zu_load_25nm,25.0,SubSys1,4,74,False,1,u,fault_test,3194,776.4153965591781,776.4153965591781,776.4153965591781,0.0,0.0,False,0.48,external_dual_three_phase
external_dual_three_phase_flt1zu_load_25nm,25.0,SubSys1,5,89,False,1,u,fault_test,3209,1390.3059535994507,1390.3059535994507,1390.3059535994498,-9.094947017729282e-13,0.0,False,0.36,external_dual_three_phase
external_dual_three_phase_flt1zu_load_25nm,25.0,SubSys2,6,104,False,1,u,fault_test,3344,2698.5267049456847,2698.5267049456847,2698.5267049456797,-5.002220859751105e-12,0.0,False,0.16,external_dual_three_phase
external_dual_three_phase_flt1zu_load_25nm,25.0,SubSys2,7,119,False,1,u,fault_test,3359,5377.3716894525605,5377.3716894525605,5377.3716894525505,-1.000444171950221e-11,0.0,True,0.04,external_dual_three_phase
external_dual_three_phase_flt1zu_load_30nm,30.0,SubSys2,0,1,False,1,u,fault_test,3481,653.9795103110291,653.9795103110291,653.9795103110291,0.0,0.0,False,0.56,external_dual_three_phase
external_dual_three_phase_flt1zu_load_30nm,30.0,SubSys2,1,15,False,1,u,fault_test,3495,430.7815124183869,430.7815124183869,430.78151241838833,1.4210854715202004e-12,0.0,False,0.76,external_dual_three_phase
external_dual_three_phase_flt1zu_load_30nm,30.0,SubSys2,2,44,False,1,u,fault_test,3524,414.7270482885606,414.7270482885606,414.72704828855933,-1.2505552149377763e-12,0.0,False,0.84,external_dual_three_phase
external_dual_three_phase_flt1zu_load_30nm,30.0,SubSys2,3,59,False,1,u,fault_test,3539,493.0131604689572,493.0131604689572,493.0131604689587,1.4779288903810084e-12,0.0,False,0.72,external_dual_three_phase
external_dual_three_phase_flt1zu_load_30nm,30.0,SubSys1,4,74,False,1,u,fault_test,3434,778.2800418596523,778.2800418596523,778.2800418596541,1.8189894035458565e-12,0.0,False,0.48,external_dual_three_phase
external_dual_three_phase_flt1zu_load_30nm,30.0,SubSys1,5,89,False,1,u,fault_test,3449,1385.6154183518843,1385.6154183518845,1385.6154183518827,-1.5916157281026244e-12,-2.2737367544323206e-13,False,0.36,external_dual_three_phase
external_dual_three_phase_flt1zu_load_30nm,30.0,SubSys1,6,104,False,1,u,fault_test,3464,2679.60577789122,2679.60577789122,2679.6057778912214,1.3642420526593924e-12,0.0,False,0.16,external_dual_three_phase
external_dual_three_phase_flt1zu_load_30nm,30.0,SubSys2,7,119,False,1,u,fault_test,3599,5237.317853560116,5237.317853560116,5237.317853560114,-2.7284841053187847e-12,0.0,True,0.04,external_dual_three_phase
external_dual_three_phase_flt1zu_load_35nm,35.0,SubSys2,0,1,False,1,u,fault_test,3721,631.6648411824815,631.6648411824815,631.6648411824825,1.0231815394945443e-12,0.0,False,0.56,external_dual_three_phase
external_dual_three_phase_flt1zu_load_35nm,35.0,SubSys2,1,15,False,1,u,fault_test,3735,427.3455899903604,427.3455899903604,427.3455899903608,3.979039320256561e-13,0.0,False,0.76,external_dual_three_phase
external_dual_three_phase_flt1zu_load_35nm,35.0,SubSys2,2,44,False,1,u,fault_test,3764,425.36178083569916,425.3617808356992,425.361780835699,-1.7053025658242404e-13,-5.684341886080802e-14,False,0.76,external_dual_three_phase
external_dual_three_phase_flt1zu_load_35nm,35.0,SubSys2,3,59,False,1,u,fault_test,3779,501.88833427233055,501.88833427233055,501.8883342723291,-1.4779288903810084e-12,0.0,False,0.72,external_dual_three_phase
external_dual_three_phase_flt1zu_load_35nm,35.0,SubSys1,4,74,False,1,u,fault_test,3674,781.7465911095314,781.7465911095314,781.7465911095308,-6.821210263296962e-13,0.0,False,0.48,external_dual_three_phase
external_dual_three_phase_flt1zu_load_35nm,35.0,SubSys1,5,89,False,1,u,fault_test,3689,1382.430380641867,1382.430380641867,1382.4303806418652,-1.8189894035458565e-12,0.0,False,0.36,external_dual_three_phase
external_dual_three_phase_flt1zu_load_35nm,35.0,SubSys1,6,104,False,1,u,fault_test,3704,2676.605346486942,2676.605346486942,2676.6053464869374,-4.547473508864641e-12,0.0,False,0.16,external_dual_three_phase
external_dual_three_phase_flt1zu_load_35nm,35.0,SubSys2,7,119,False,1,u,fault_test,3839,5135.348596118523,5135.348596118523,5135.348596118512,-1.0913936421275139e-11,0.0,True,0.04,external_dual_three_phase
external_dual_three_phase_flt1zu_load_5nm,5.0,SubSys2,0,1,False,1,u,fault_test,2281,624.6205329672326,624.6205329672326,624.6205329672322,-4.547473508864641e-13,0.0,False,0.64,external_dual_three_phase
external_dual_three_phase_flt1zu_load_5nm,5.0,SubSys2,1,18,False,1,u,fault_test,2298,342.4699258693286,342.4699258693286,342.46992586932805,-5.684341886080801e-13,0.0,False,1.0,external_dual_three_phase
external_dual_three_phase_flt1zu_load_5nm,5.0,SubSys1,2,40,False,1,u,fault_test,2200,309.1788188346701,309.1788188346701,309.17881883467106,9.663381206337363e-13,0.0,False,1.0,external_dual_three_phase
external_dual_three_phase_flt1zu_load_5nm,5.0,SubSys1,3,59,False,1,u,fault_test,2219,476.5793653447507,476.5793653447507,476.57936534475107,3.410605131648481e-13,0.0,False,0.72,external_dual_three_phase
external_dual_three_phase_flt1zu_load_5nm,5.0,SubSys2,4,74,False,1,u,fault_test,2354,1136.1663661959385,1136.1663661959385,1136.166366195941,2.5011104298755527e-12,0.0,False,0.4,external_dual_three_phase
