subset,feature,windows,native_median,polyphase_10khz_median,median_signed_delta,median_absolute_delta,native_iqr,median_absolute_delta_per_native_iqr,root_mean_squared_delta,pearson_correlation,spearman_correlation
healthy_source_windows,phase_rms_cv,1800,0.08498349794770754,0.09294341726584271,0.0038675182167408964,0.0038675182167408964,0.07843757631534434,0.04930695718072963,0.00565442670144477,0.997904171113192,0.9568977788779154
healthy_source_windows,clarke_radius_cv,1800,0.4539744749541677,0.3973065378872169,-0.09402102662478981,0.09402102662478981,0.3170212563818666,0.2965764116193432,0.09006163502065899,0.987377940823357,0.8589870902223531
healthy_source_windows,zero_sequence_ratio,1800,0.6374437093333298,0.6403474296774584,0.0009813605702159167,0.0031238495091332474,0.560074889804495,0.005577556798205482,0.017271013991670685,0.9997401279579988,0.9554308257502548
healthy_source_windows,spectral_entropy,1800,0.15626902042363905,0.15636013826213224,8.90415232852465e-05,8.90415232852465e-05,0.005804756688568502,0.015339406638800021,9.513414589554354e-05,0.9999682592862252,0.9998448127093045
healthy_source_windows,sideband_lower_ratio,1800,0.006482443678554901,0.00648037323663175,-1.825933884650171e-06,3.034538443750373e-06,0.002903546393315349,0.0010451145022984992,4.118122518843394e-06,0.9999987992325484,0.9999965905339272
healthy_source_windows,sideband_upper_ratio,1800,0.00689925890039185,0.0068988612952525005,1.1031331119499763e-06,2.520321541250219e-06,0.0038579269064654004,0.0006532839015240224,3.7061013574348385e-06,0.9999993250717555,0.9999981728389423
healthy_source_windows,harmonic_2_ratio_mean,1800,0.0252408967692706,0.02526915766259375,1.708071743154911e-05,1.708071743154911e-05,0.01842304204714775,0.0009271388182166985,2.3172084032551114e-05,0.9999993944746435,0.9999956995871503
healthy_source_windows,harmonic_2_ratio_max,1800,0.0333993201239777,0.0334354425113719,2.5573755323998748e-05,2.5573755323998748e-05,0.02681099098135817,0.0009538534156301913,3.1188664699267206e-05,0.9999996408255881,0.9999978189293681
healthy_source_windows,harmonic_3_ratio_mean,1800,0.00976741673806635,0.0097797777870035,7.6378521563494e-06,7.6378521563494e-06,0.009012782452410325,0.0008474466344526909,8.178597152974169e-06,0.9999998860925806,0.99999937242779
healthy_source_windows,harmonic_3_ratio_max,1800,0.01460641703349215,0.014617972387727749,1.1169788711198891e-05,1.1169788711198891e-05,0.013643944919237698,0.0008186626945004524,1.208294674349915e-05,0.9999998684037936,0.9999992695470997
healthy_source_windows,harmonic_4_ratio_mean,1800,0.02253346950610405,0.02253305598267515,-2.211220362050015e-06,4.777651040500236e-06,0.012615523451116547,0.000378712073186102,6.882065299207649e-06,0.9999995029348531,0.9999976255136706
healthy_source_windows,harmonic_4_ratio_max,1800,0.02682593031328355,0.02682444130887735,-3.090580158999698e-06,5.510715968302243e-06,0.014200714953133478,0.0003880590510047713,7.660766390066709e-06,0.9999995807154981,0.9999977222215193
